n_obs,n_sp,n_variable,settings.plot.height,settings.plot.width,estimated_ram_mb
800,2,2,250,500,281.25
800,2,2,2000,500,281.25
800,2,2,250,5000,281.25
800,2,2,2000,5000,281.25
800,2,6,250,500,281.25
800,2,6,2000,500,281.25
800,2,6,250,5000,281.25
800,2,6,2000,5000,281.25
800,2,10,250,500,281.25
800,2,10,2000,500,281.25
800,2,10,250,5000,281.25
800,2,10,2000,5000,337.50
800,6,2,250,500,281.25
800,6,2,2000,500,281.25
800,6,2,250,5000,281.25
800,6,2,2000,5000,281.25
800,6,6,250,500,281.25
800,6,6,2000,500,281.25
800,6,6,250,5000,281.25
800,6,6,2000,5000,337.50
800,6,10,250,500,281.25
800,6,10,2000,500,281.25
800,6,10,250,5000,281.25
800,6,10,2000,5000,337.50
800,10,2,250,500,281.25
800,10,2,2000,500,281.25
800,10,2,250,5000,281.25
800,10,2,2000,5000,337.50
800,10,6,250,500,281.25
800,10,6,2000,500,281.25
800,10,6,250,5000,281.25
800,10,6,2000,5000,337.50
800,10,10,250,500,337.50
800,10,10,2000,500,337.50
800,10,10,250,5000,337.50
800,10,10,2000,5000,337.50
12900,2,2,250,500,281.25
12900,2,2,2000,500,281.25
12900,2,2,250,5000,281.25
12900,2,2,2000,5000,337.50
12900,2,6,250,500,337.50
12900,2,6,2000,500,421.88
12900,2,6,250,5000,421.88
12900,2,6,2000,5000,421.88
12900,2,10,250,500,506.25
12900,2,10,2000,500,506.25
12900,2,10,250,5000,506.25
12900,2,10,2000,5000,506.25
12900,6,2,250,500,337.50
12900,6,2,2000,500,337.50
12900,6,2,250,5000,337.50
12900,6,2,2000,5000,421.88
12900,6,6,250,500,632.81
12900,6,6,2000,500,632.81
12900,6,6,250,5000,632.81
12900,6,6,2000,5000,632.81
12900,6,10,250,500,854.30
12900,6,10,2000,500,854.30
12900,6,10,250,5000,854.30
12900,6,10,2000,5000,854.30
12900,10,2,250,500,506.25
12900,10,2,2000,500,506.25
12900,10,2,250,5000,506.25
12900,10,2,2000,5000,506.25
12900,10,6,250,500,854.30
12900,10,6,2000,500,854.30
12900,10,6,250,5000,854.30
12900,10,6,2000,5000,854.30
12900,10,10,250,500,1210.25
12900,10,10,2000,500,1210.25
12900,10,10,250,5000,1210.25
12900,10,10,2000,5000,1281.45
25000,2,2,250,500,337.50
25000,2,2,2000,500,337.50
25000,2,2,250,5000,337.50
25000,2,2,2000,5000,421.88
25000,2,6,250,500,506.25
25000,2,6,2000,500,506.25
25000,2,6,250,5000,506.25
25000,2,6,2000,5000,506.25
25000,2,10,250,500,632.81
25000,2,10,2000,500,696.09
25000,2,10,250,5000,696.09
25000,2,10,2000,5000,696.09
25000,6,2,250,500,506.25
25000,6,2,2000,500,506.25
25000,6,2,250,5000,506.25
25000,6,2,2000,5000,506.25
25000,6,6,250,500,949.22
25000,6,6,2000,500,949.22
25000,6,6,250,5000,949.22
25000,6,6,2000,5000,949.22
25000,6,10,250,500,1423.83
25000,6,10,2000,500,1423.83
25000,6,10,250,5000,1423.83
25000,6,10,2000,5000,1495.02
25000,10,2,250,500,632.81
25000,10,2,2000,500,632.81
25000,10,2,250,5000,632.81
25000,10,2,2000,5000,696.09
25000,10,6,250,500,1423.83
25000,10,6,2000,500,1423.83
25000,10,6,250,5000,1423.83
25000,10,6,2000,5000,1495.02
25000,10,10,250,500,2135.74
25000,10,10,2000,500,2189.14
25000,10,10,250,5000,2189.14
25000,10,10,2000,5000,2189.14
